err [%],used f1,used f2,used f3,used f4,Mech params
9.38365166320415,f02,f23,f31,f24,positive MP
9.43976711815041,f02,f31,f32,f24,positive MP
9.46791996164658,f21,f23,f31,f33,positive MP
9.46923135311675,f11,f23,f30,f24,positive MP
9.50536829489339,f02,f23,f32,f33,positive MP
9.57070330480964,f11,f30,f31,f24,positive MP
9.57749772485087,f11,f02,f22,f24,positive MP
9.6103681848401,f02,f23,f30,f24,positive MP
9.69024888652555,f12,f23,f31,f24,positive MP
9.70595276306503,f21,f23,f30,f33,positive MP
9.75815238032548,f12,f23,f32,f24,positive MP
9.80246190287404,f02,f32,f24,f33,positive MP
9.82750655397853,f23,f31,f24,f33,positive MP
10.0104832831593,f20,f12,f24,f33,positive MP
10.1000148722245,f20,f12,f21,f24,positive MP
10.1464637707714,f22,f23,f31,f24,positive MP
10.1644507378534,f22,f32,f24,f33,positive MP
10.215545397556,f11,f22,f31,f24,positive MP
10.2908289179059,f02,f23,f32,f24,positive MP
10.3122592732669,f02,f21,f23,f32,positive MP
10.5076235566539,f02,f20,f31,f24,positive MP
10.556765351533,f02,f20,f30,f24,positive MP
10.7781354384657,f11,f22,f23,f32,negative MP
10.8560545148471,f02,f30,f31,f24,positive MP
10.9144308477266,f11,f20,f22,f23,negative MP
10.9963697710093,f11,f23,f31,f24,positive MP
11.0417193598685,f11,f21,f22,f23,negative MP
11.274830898422,f22,f23,f24,f33,positive MP
11.4097724354637,f02,f21,f23,f33,positive MP
11.4197099552032,f21,f32,f24,f33,negative MP
11.5643117754515,f02,f21,f23,f24,positive MP
11.6381203574887,f23,f30,f31,f33,positive MP
11.6538076974803,f02,f21,f32,f24,positive MP
11.6860774540851,f02,f21,f24,f33,positive MP
11.9307130603066,f11,f20,f23,f33,negative MP
12.0005686235494,f12,f21,f22,f24,positive MP
12.0924638662588,f11,f23,f32,f33,negative MP
12.1754773043969,f20,f21,f23,f32,negative MP
12.2670412952029,f11,f20,f21,f23,negative MP
12.3031668828774,f11,f21,f23,f33,negative MP
12.3777262713256,f11,f21,f23,f32,negative MP
12.4228268178355,f11,f20,f23,f32,negative MP
12.4474167570829,f11,f12,f22,f23,positive MP
12.75548285364,f11,f23,f31,f33,negative MP
13.0011733115815,f12,f22,f32,f24,positive MP
14.1221428719688,f22,f23,f30,f31,negative MP
14.1689247210056,f22,f23,f31,f33,positive MP
14.2147738131569,f22,f23,f30,f33,negative MP
14.5978499226865,f11,f02,f22,f23,negative MP
14.6792113321579,f11,f22,f23,f33,negative MP
15.2168929159971,f11,f20,f21,f32,negative MP
15.2822304041658,f12,f23,f24,f33,negative MP
15.2978897043597,f20,f21,f23,f33,negative MP
15.7033777915626,f11,f23,f30,f33,negative MP
16.3047321708582,f20,f21,f22,f23,negative MP
16.3936188011101,f20,f23,f32,f33,negative MP
16.5328307777453,f12,f21,f24,f33,negative MP
16.8191493757453,f02,f20,f30,f31,negative MP
16.8824522379888,f20,f12,f23,f32,negative MP
17.004593413211,f12,f22,f24,f33,negative MP
17.0594423902153,f02,f22,f23,f33,positive MP
17.0684443914181,f12,f32,f24,f33,negative MP
17.0979473056893,f02,f22,f24,f33,positive MP
17.9237633149217,f11,f23,f30,f31,negative MP
18.0334369541689,f20,f22,f32,f33,positive MP
18.2719130963875,f20,f22,f23,f32,negative MP
19.1419486578836,f02,f23,f24,f33,negative MP
19.2982504055757,f12,f21,f32,f24,negative MP
20.6987409607341,f11,f22,f23,f30,negative MP
21.5867162294466,f20,f22,f23,f33,negative MP
21.7169218074719,f21,f22,f32,f33,negative MP
23.5294089654315,f12,f23,f30,f31,negative MP
23.7890772040939,f12,f22,f23,f33,negative MP
26.0758851206085,f12,f30,f31,f24,negative MP
26.5460349102129,f21,f22,f23,f32,negative MP
27.2380622242972,f22,f23,f32,f33,negative MP
27.4800484237217,f12,f22,f23,f24,negative MP
27.8119734149087,f21,f23,f32,f33,negative MP
28.130588215603,f11,f12,f23,f24,negative MP
28.3183788084168,f21,f22,f23,f33,negative MP
28.5119493529428,f11,f22,f23,f31,negative MP
28.7635924896583,f02,f12,f23,f24,negative MP
30.3233991986909,f11,f02,f12,f23,negative MP
34.8859015402263,f11,f02,f23,f24,negative MP
42.1629959027095,f02,f22,f23,f24,negative MP
46.8038297273084,f12,f21,f23,f32,negative MP
63.2932794541289,f11,f02,f12,f24,negative MP
