f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,used f1,used f2,used f3
72.0503237536259,105.500007248598,129.81952320592,178.138096314922,184.499989860469,319.956734800492,503.062895194299,411.785929264421,468.499942619708,540.296583154539,756.377318280267,728.784615448164,f02,f21,f31
-615.73505515658,105.50000392104,940.031625719812,-842.132488459264,184.499986713639,-985.525386361584,-1565.8000053153,1643.51713169515,1350.86866441055,520.999833544676,-1835.8033059989,-965.14241962593,f02,f21,f32
32.2832531713949,105.499997748842,176.665204005828,119.147054390845,184.500002337284,244.475056395759,383.44329156388,483.003428702125,519.517643096387,539.180906039045,606.49998455514,630.843463296446,f02,f21,f24
57.1146690614808,105.499989534518,147.413751272243,155.982323617683,184.499992002974,291.607438289496,458.136336088617,438.533662854642,487.661068617173,539.87755857002,700.086586730313,692.000021915128,f02,f21,f33
7.04892546113365,105.50000247307,366.463356324661,82.824559502661,315.058499190583,287.999971381298,393.500001906562,819.009435987262,804.712725241503,889.772707425868,574.571498030406,877.574269350946,f02,f22,f23
57.9523993053601,105.5,137.326474701859,157.16189902749,177.077472438972,288,455.769144534107,420.499999999999,472.212917529566,519.928944395985,699.652196317621,676.50280115107,f02,f22,f30
58.5208307970822,105.500006944272,134.767690281813,157.992016420639,175.536623438492,287.999975571896,456.464465524856,416.049827538438,468.499876365577,515.798840891603,701.048940497374,674.257363627548,f02,f22,f31
57.8049792146836,105.500004928023,137.990055029375,156.9466156149,177.477062643343,287.99999281248,455.58880314138,421.654088533733,473.175841175781,521.000000411482,699.289957356951,677.085086096697,f02,f22,f32
20.0427050900401,105.5,307.973199592738,101.800140041965,279.837062993348,288,409.39503810887,717.284742108818,719.837845759984,795.365320915989,606.5,826.248215357254,f02,f22,f24
54.0291353650556,105.500016557366,154.986624381789,151.432537280187,187.712003683091,287.999993687911,450.969921112551,451.214122327132,497.839536885646,548.433734219976,690.011958562491,691.999885644713,f02,f22,f33
40.3491634554436,105.500008919891,140.710926531258,130.928638437208,162.924629886163,244.677023619947,393.50005718315,420.500054116087,467.38990093473,481.353355504148,626.459240632965,599.665023814757,f02,f23,f30
40.2395535358354,105.500001441108,141.453873025961,130.770294986527,163.425280418218,244.819544284404,393.499975356058,421.811523660963,468.499999918544,482.697400514899,626.288374125695,600.579517756358,f02,f23,f31
37.1165828167608,105.5,162.62549460588,126.258986897682,177.692778475905,248.882497892323,393.5,459.184722048141,500.134972172539,521,621.422246341214,626.642573865823,f02,f23,f32
27.5398122340326,105.499994631414,227.549403192388,112.424797939616,221.444810676165,261.341725155686,393.500019942797,573.791624966843,597.145294887379,638.456927630952,606.499939921647,706.566256468787,f02,f23,f24
29.2851431596806,105.500018827325,215.717041056059,114.94604064486,213.470988244553,259.070961226449,393.499922038153,552.904572034398,579.46521642957,617.050359524256,609.219450001779,692.000050596954,f02,f23,f33
44.4010273812724,105.500001859907,139.931880780724,136.966933816337,166.182274710139,254.648969889097,407.832960044186,420.499997219958,468.500004370702,490.23252178134,643.306562828055,617.351277177666,f02,f30,f31
58.441132394578,105.499996609884,137.232506988942,157.890232256793,177.470408004633,289.20280832678,457.497961958574,420.49998926284,472.346811416042,520.999937957091,701.684296076218,678.636096345645,f02,f30,f32
35.5488802761972,105.500004380086,141.633807297076,123.77500147433,159.065215069529,232.863117368153,376.519673800718,420.499993923118,466.074629530392,470.833975227891,606.499987273503,578.711811690333,f02,f30,f24
61.5027326574114,105.500000288281,136.643904105355,162.452792223057,179.931931974018,296.737671462591,468.327983829017,420.500040734911,473.185699628879,527.709170676185,714.414229865181,691.999981884243,f02,f30,f33
