err [%],used f1,used f2,used f3,used f4,used f5,Mech params
5.05997186975953,f20,f12,f21,f32,f33,positive MP
5.06255383016071,f11,f12,f31,f32,f24,positive MP
5.06698009002479,f12,f21,f30,f32,f24,positive MP
5.06829530834445,f11,f02,f20,f22,f33,positive MP
5.07699210532844,f11,f02,f22,f31,f24,positive MP
5.07819031231055,f11,f12,f23,f30,f33,positive MP
5.0812062436822,f11,f02,f12,f22,f32,positive MP
5.08834900016706,f12,f30,f32,f24,f33,positive MP
5.09462023424214,f11,f20,f12,f23,f30,positive MP
5.09679908519191,f12,f21,f23,f30,f32,positive MP
5.09693725802951,f11,f02,f22,f32,f24,positive MP
5.09774705447027,f11,f02,f23,f30,f33,positive MP
5.10789539410186,f11,f02,f20,f12,f30,positive MP
5.11011082888796,f02,f12,f30,f24,f33,positive MP
5.11411284749033,f02,f12,f32,f24,f33,positive MP
5.11843981163927,f12,f23,f31,f32,f33,positive MP
5.1230799281935,f02,f12,f21,f31,f24,positive MP
5.13189064334709,f20,f12,f21,f23,f31,positive MP
5.1324477118593,f02,f12,f21,f30,f24,positive MP
5.13252975394163,f11,f02,f20,f21,f32,positive MP
5.1328396204312,f12,f21,f23,f31,f32,positive MP
5.13680647871647,f11,f12,f22,f32,f33,positive MP
5.13768269127057,f11,f02,f31,f32,f33,positive MP
5.13853213620127,f02,f20,f12,f24,f33,positive MP
5.13971686107504,f12,f21,f23,f30,f31,positive MP
5.14765990867302,f12,f23,f30,f32,f33,positive MP
5.15293617488285,f11,f02,f20,f31,f33,positive MP
5.15303589237473,f12,f21,f22,f30,f24,positive MP
5.15593379853769,f11,f12,f30,f32,f24,positive MP
5.1635963623201,f11,f12,f21,f23,f30,positive MP
5.17143260802155,f11,f30,f31,f32,f33,positive MP
5.17287252080869,f11,f12,f22,f23,f30,positive MP
5.18983374834153,f20,f12,f22,f23,f32,positive MP
5.1901653475983,f11,f02,f20,f30,f31,positive MP
5.19158285677109,f11,f02,f22,f32,f33,positive MP
5.19632623051753,f11,f02,f12,f22,f31,positive MP
5.19674982307587,f11,f02,f20,f12,f33,positive MP
5.19764076150499,f11,f02,f20,f21,f22,positive MP
5.20064333873074,f20,f12,f22,f31,f24,positive MP
5.20531543708349,f02,f12,f22,f31,f24,positive MP
5.21134572128352,f11,f02,f23,f30,f32,positive MP
5.21911217051739,f02,f12,f22,f30,f24,positive MP
5.23160020781459,f11,f12,f21,f31,f24,positive MP
5.2330807780903,f11,f02,f20,f30,f33,positive MP
5.23399441216777,f12,f21,f30,f24,f33,positive MP
5.25616538355098,f11,f02,f12,f32,f24,positive MP
5.26123025022618,f11,f02,f22,f31,f33,positive MP
5.26142753401255,f12,f22,f23,f31,f24,positive MP
5.27012202493288,f02,f12,f22,f23,f33,positive MP
5.27460386781892,f12,f21,f23,f32,f33,positive MP
5.27759816712233,f02,f20,f12,f21,f24,positive MP
5.27965007634681,f11,f02,f22,f31,f32,positive MP
5.29506513889493,f02,f21,f31,f32,f33,positive MP
5.29613235403752,f02,f21,f30,f31,f33,positive MP
5.30136802582097,f11,f12,f21,f30,f24,positive MP
5.30460606034018,f12,f23,f30,f31,f33,positive MP
5.30621108913486,f12,f22,f23,f30,f32,positive MP
5.30841326349806,f02,f20,f12,f22,f23,positive MP
5.30919222126703,f12,f22,f23,f31,f32,positive MP
5.31480271501781,f11,f02,f20,f12,f21,positive MP
5.3181563269411,f20,f12,f31,f24,f33,positive MP
5.32678975267544,f11,f02,f23,f32,f33,positive MP
5.33321970565671,f11,f02,f20,f21,f31,positive MP
5.34462398750347,f11,f12,f22,f23,f31,positive MP
5.38618886449164,f12,f23,f31,f24,f33,positive MP
5.3865431390416,f12,f21,f23,f31,f24,positive MP
5.39280374822997,f20,f12,f21,f30,f24,positive MP
5.40423117157482,f11,f02,f12,f31,f24,positive MP
5.40856316269138,f02,f12,f21,f32,f24,positive MP
5.40927446763131,f02,f12,f21,f22,f24,positive MP
5.42391456773721,f11,f02,f20,f21,f33,positive MP
5.42484670078343,f11,f12,f23,f30,f32,positive MP
5.43230228863623,f12,f22,f23,f30,f24,positive MP
5.43981140806513,f20,f12,f30,f31,f24,positive MP
5.45480757156844,f02,f20,f12,f23,f33,positive MP
5.4624081576815,f11,f02,f20,f21,f30,positive MP
5.46493676626744,f11,f20,f12,f31,f24,positive MP
5.46602840915704,f02,f12,f23,f32,f33,positive MP
5.46767912451272,f02,f12,f22,f23,f32,positive MP
5.476753581639,f02,f20,f12,f32,f24,positive MP
5.48920885595705,f12,f23,f30,f24,f33,positive MP
5.49186483163153,f02,f12,f21,f22,f23,positive MP
5.50789088378897,f11,f12,f23,f31,f24,positive MP
5.51776290265606,f20,f12,f21,f22,f32,positive MP
5.51956290248521,f02,f22,f30,f24,f33,positive MP
5.52403695108288,f11,f12,f23,f31,f32,positive MP
5.53849379618829,f12,f22,f31,f24,f33,positive MP
5.54804547116604,f20,f12,f23,f32,f33,positive MP
5.54886179514993,f12,f21,f23,f30,f24,positive MP
5.57569308180704,f11,f02,f23,f31,f32,positive MP
5.59482597421826,f11,f02,f23,f30,f31,positive MP
5.59780729264,f02,f20,f12,f21,f23,positive MP
5.59807426524231,f02,f20,f12,f31,f24,positive MP
5.60047821472372,f11,f21,f22,f32,f33,positive MP
5.61959319393103,f11,f20,f12,f30,f24,positive MP
5.6224845460754,f02,f12,f21,f23,f31,positive MP
5.62299267326215,f02,f22,f23,f30,f33,positive MP
5.63627351774804,f02,f20,f12,f30,f24,positive MP
5.65405399598849,f02,f12,f21,f23,f30,positive MP
5.67090927168718,f11,f21,f31,f32,f24,positive MP
5.67809183340982,f02,f12,f31,f32,f24,positive MP
5.68109742230288,f11,f12,f23,f30,f24,positive MP
5.68755032248733,f11,f20,f12,f23,f33,positive MP
5.68831673009527,f11,f20,f12,f22,f23,positive MP
5.69731372230407,f11,f20,f31,f32,f24,positive MP
5.70048593809511,f02,f12,f30,f32,f24,positive MP
5.70747909169841,f11,f20,f12,f32,f24,positive MP
5.7078715996591,f02,f20,f22,f24,f33,positive MP
5.71350302858935,f11,f02,f23,f31,f33,positive MP
5.71480954682615,f11,f02,f21,f23,f24,positive MP
