f11,f11 peak N,f02,f02 peak N,f12,f12 peak N,f20,f20 peak N,f21,f21 peak N,f03,f03 peak N,f22,f22 peak N,f13,f13 peak N,f30,f30 peak N,f23,f23 peak N,f31,f31 peak N,f04,f04 peak N,f14,f14 peak N,f32,f32 peak N,f24,f24 peak N,f33,f33 peak N,f05,f05 peak N,f15,f15 peak N,f40,f40 peak N,f41,f41 peak N,f34,f34 peak N,f25,f25 peak N
1.44335531260328e-06,1,4.88652609167135e-06,2,2.30088834325546e-06,4,2.71145034777056e-06,3,6.18614616556724e-06,5,2.0461493701551e-06,6,3.7804799841252e-06,7,5.09376837885456e-07,8,3.78711718045832e-06,9,1.75119342276942e-06,11,6.46242803309575e-06,10,3.87413186666418e-06,13,5.08352246049196e-07,14,4.00338466186386e-06,12,NaN,NaN,1.4681080459533e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.43342358601524e-06,1,4.56252773245673e-06,2,3.04929806613439e-06,4,2.9238428675673e-06,3,6.01553576465454e-06,5,6.58515230226535e-07,6,3.73881436883682e-06,7,1.14449246612379e-06,8,3.77032541814161e-06,9,2.72094595263847e-06,11,6.53207092603867e-06,10,1.0581271838367e-06,12,1.17584515538024e-06,13,3.61957151832465e-06,14,4.05364500908076e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.32714134864803e-06,1,3.9890297694091e-06,2,2.62621049193876e-06,4,2.41024817329048e-06,3,4.97212030205307e-06,5,1.97463772863301e-06,6,2.9192350693795e-06,7,4.78896562440784e-07,8,2.90851827732234e-06,9,1.96395338653969e-06,11,4.93399072478836e-06,10,2.85237697125032e-06,12,5.7821047144202e-07,14,2.86334914316895e-06,13,1.01086940394267e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.14143694710205e-06,1,2.90927526294323e-06,2,9.3935049011712e-07,3,2.12449022681962e-06,4,4.0137032051986e-06,5,6.79571875217709e-07,6,2.45894489691151e-06,7,1.40074133140838e-06,8,2.11662271921345e-06,9,2.2817101554051e-06,10,4.28623276869605e-06,11,4.22375714242583e-06,12,9.21749367931396e-07,13,2.86300056826882e-06,14,3.4608576409738e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.26310558871607e-06,1,3.23410419708029e-06,2,9.00507849486854e-07,3,2.17042290327217e-06,4,4.33344972501554e-06,5,6.89514067352993e-07,6,2.30657513022554e-06,8,2.30323111043459e-06,7,1.76729474708871e-06,9,1.94223066736368e-06,10,3.70579858580048e-06,12,1.99546747346715e-06,11,1.1916957089886e-06,13,2.2946484517602e-06,14,3.65000876986813e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.47854532075389e-06,1,4.75989690407218e-06,2,2.3752625515397e-06,4,2.8111630000497e-06,3,6.22161674374087e-06,5,9.00310602269538e-07,6,3.98492562192861e-06,7,6.77111914644028e-07,8,3.89912836838943e-06,9,1.96432817141322e-06,11,6.71912000888423e-06,10,1.05566923769841e-06,12,1.43246571097386e-06,14,3.48289211847705e-06,13,6.87509977786031e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.36149423958135e-06,1,3.87495696919742e-06,2,8.82267859434498e-07,3,2.5009283918143e-06,4,5.31869168737269e-06,5,6.9946330365718e-07,6,2.96842974860966e-06,7,2.53730323832046e-06,8,2.30038541751938e-06,10,1.04169662994129e-06,9,5.13627317545339e-06,12,2.77551334172602e-06,11,1.08632012588381e-06,13,3.28498996218681e-06,14,3.46763235676689e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.12044839279575e-06,1,3.06574749318207e-06,2,1.48923867710051e-06,3,2.30309880921436e-06,4,4.03188100778034e-06,5,1.30906965626911e-06,6,2.51917781003949e-06,7,4.90893110580977e-07,8,2.64710189458378e-06,9,3.93132728489544e-06,10,4.80298554918402e-06,11,1.09842549067055e-06,12,2.09219333265774e-06,13,1.33848432064103e-06,14,5.11422451808617e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.3963167694087e-06,1,3.83843620697808e-06,2,2.28787423559983e-06,4,2.32572792497741e-06,3,5.09362558001099e-06,5,6.64562898050864e-07,6,3.11705885016287e-06,7,1.63310421121172e-06,8,3.17981887755315e-06,9,1.81776502166171e-06,11,5.43363300211251e-06,10,1.41359054059028e-06,12,1.1794017598992e-06,13,3.21830314047365e-06,14,4.67818795666325e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.1973403667902e-06,1,3.33267110601149e-06,2,2.25039548620709e-06,3,2.51458727487202e-06,4,4.11716330893746e-06,5,9.51162232673477e-07,6,2.34144088519785e-06,7,5.63872387111134e-07,8,2.01629990944597e-06,9,3.84249770586315e-06,10,3.82902261064488e-06,11,9.58207996097385e-07,12,1.36088036861832e-06,13,1.20432961181223e-06,14,4.28452364572385e-07,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
