f11,f11 peak N,f02,f02 peak N,f12,f12 peak N,f20,f20 peak N,f03,f03 peak N,f21,f21 peak N,f13,f13 peak N,f22,f22 peak N,f1t,f1t peak N
663.710802478507,1,813.804374593805,2,1302.31388353952,3,1582.09750530437,4,1645.19553562801,5,1779.51117652736,6,2150.27239380868,7,2241.99593532936,8,NaN,NaN
689.769741639946,1,806.861842260804,2,1333.12110234015,4,1182.43530351196,3,1666.41756618671,6,1502.43101249398,5,2154.28748008904,7,2191.74064845469,8,NaN,NaN
644.273799361244,1,781.02140054326,2,1263.12925376672,3,1552.76999668593,4,1564.51759370211,5,1745.98310974883,6,1989.16282471179,7,2199.02821725888,8,NaN,NaN
748.235051359234,1,837.14208875867,2,1464.82092959956,3,1800.93338484433,5,1772.84751460879,4,2048.24449338373,6,2395.58502912071,7,NaN,NaN,2541.35359260706,8
660.813775869802,1,685.835467353321,2,1252.97578448645,3,1614.58947834682,5,1456.1092886373,4,1800.48349844955,6,1953.70166638923,7,NaN,NaN,NaN,NaN
552.194789935427,1,734.855367978907,2,1152.69224486988,3,1584.27880164678,5,1489.62653064704,4,1742.55902865744,6,1936.97306893396,7,NaN,NaN,2069.15982957821,8
654.486669493418,1,751.299940463926,2,1274.0488050707,3,1372.59076385914,4,1573.32122498697,5,1635.78283072687,6,2133.33709483895,7,2197.15453970156,8,NaN,NaN
641.16561378502,1,770.781580287259,2,1261.66937764842,3,1428.39066745776,4,1582.17008227095,5,1658.39766746292,6,2102.17896110285,7,2172.66554241322,8,NaN,NaN
634.336954725333,1,754.411051690701,2,1243.41558711109,3,1576.53967009452,5,1538.72143450153,4,1758.01778097614,6,1992.67673113435,7,2196.24488642772,8,NaN,NaN
547.624456384798,1,763.128156029497,2,1142.89682742553,3,1409.10782939977,4,1501.74390994949,5,1580.70070851185,6,1912.61795039238,7,2001.57684848083,8,NaN,NaN
